"arc_length","function_2403 (imaginary part)_Magnitude","function_2403 (real part)_Magnitude","function_2535 (imaginary part)_Magnitude","function_2535 (real part)_Magnitude"
11.5909,0.977235,0.767999,0.87756,0.723411
11.6079,0.982781,0.797551,0.881113,0.759236
11.6248,0.976661,0.841646,0.872924,0.807125
11.6418,0.975046,0.863998,0.870392,0.832381
11.6588,0.975838,0.908191,0.869279,0.887669
11.6757,0.956744,0.968569,0.84998,0.958066
11.6927,0.950778,0.984632,0.843649,0.977159
11.7097,0.935005,1.01475,0.82644,1.01034
11.7267,0.926338,1.02946,0.817696,1.02806
11.7436,0.917674,1.04418,0.808957,1.0458
11.7606,0.858773,1.09409,0.753376,1.11398
11.7776,0.841531,1.10415,0.736712,1.12699
11.7945,0.824303,1.11422,0.720065,1.14
11.8115,0.809307,1.12047,0.705804,1.14922
11.8285,0.789165,1.12763,0.686561,1.15923
11.8455,0.748759,1.12526,0.651169,1.16769
11.8624,0.707845,1.13677,0.611018,1.18384
11.8794,0.68743,1.13534,0.593209,1.18525
11.8964,0.668505,1.13428,0.575683,1.18672
11.9133,0.58844,1.13787,0.499763,1.19632
11.9303,0.519249,1.10978,0.438334,1.17708
11.9473,0.494774,1.10302,0.415688,1.17249
11.9642,0.470305,1.09626,0.393049,1.1679
11.9812,0.450649,1.08994,0.375851,1.16292
11.9982,0.427196,1.08103,0.354424,1.15594
12.0152,0.349297,1.03122,0.286324,1.11389
12.0321,0.335465,1.01799,0.277274,1.10228
12.0491,0.209108,0.971332,0.159848,1.05852
12.0661,0.183847,0.95622,0.137398,1.04467
12.083,0.177492,0.936812,0.141151,1.02703
12.1,0.153817,0.919914,0.122497,1.01107
12.117,0.129261,0.849818,0.119971,0.944587
12.134,0.162531,0.825615,0.162224,0.921945
12.1509,0.134503,0.766763,0.152515,0.860987
12.1679,0.151726,0.747032,0.168766,0.84134
12.1849,0.187661,0.719042,0.20344,0.814817
12.2018,0.270755,0.644437,0.276077,0.740661
12.2188,0.307651,0.610367,0.311551,0.708134
12.2358,0.344209,0.567245,0.343098,0.659076
12.2527,0.43257,0.474175,0.423779,0.567358
12.2697,0.455194,0.448121,0.443747,0.539658
12.2867,0.475495,0.423002,0.461896,0.513929
12.3037,0.494121,0.402756,0.477821,0.491871
12.3206,0.585732,0.299782,0.558247,0.383302
12.3376,0.654386,0.224142,0.619147,0.290988
12.3546,0.674297,0.206954,0.636452,0.265863
